,Longitude,Latitude,Value
813,120.84,23.11,13.6
814,120.87,23.11,6.9
815,120.9,23.11,3.1
816,120.93,23.11,10.1
817,120.96,23.11,9.4
818,120.99,23.11,9.3
819,121.02,23.11,15.4
820,121.05,23.11,18.5
821,121.08,23.11,20.0
822,121.11,23.11,22.3
823,121.14,23.11,17.2
824,121.17,23.11,23.9
825,121.2,23.11,24.0
826,121.23,23.11,23.9
827,121.26,23.11,19.2
828,121.29,23.11,22.1
829,121.32,23.11,15.3
830,121.35,23.11,23.1
831,121.38,23.11,26.1
832,120.12,23.14,25.3
833,120.15,23.14,25.3
834,120.18,23.14,25.3
835,120.21,23.14,25.2
836,120.24,23.14,25.1
837,120.27,23.14,25.1
838,120.3,23.14,25.0
839,120.33,23.14,24.9
840,120.36,23.14,24.7
841,120.39,23.14,24.8
842,120.42,23.14,24.7
843,120.45,23.14,24.3
844,120.48,23.14,24.5
845,120.51,23.14,23.6
846,120.54,23.14,18.7
847,120.57,23.14,23.3
848,120.6,23.14,19.4
849,120.63,23.14,21.5
850,120.66,23.14,16.5
851,120.69,23.14,16.5
852,120.72,23.14,20.4
853,120.75,23.14,19.2
854,120.78,23.14,16.1
855,120.81,23.14,15.3
856,120.84,23.14,7.8
857,120.87,23.14,3.0
858,120.9,23.14,5.5
859,120.93,23.14,6.6
860,120.96,23.14,4.2
861,120.99,23.14,8.7
862,121.02,23.14,12.6
863,121.05,23.14,14.6
864,121.08,23.14,21.4
865,121.11,23.14,21.8
866,121.14,23.14,22.7
867,121.17,23.14,20.9
868,121.2,23.14,24.0
869,121.23,23.14,24.4
870,121.26,23.14,23.7
871,121.29,23.14,22.6
872,121.32,23.14,12.5
873,121.35,23.14,20.5
874,121.38,23.14,25.3
875,120.09,23.169999999999998,25.4
876,120.12,23.169999999999998,25.3
877,120.15,23.169999999999998,25.2
878,120.18,23.169999999999998,25.3
879,120.21,23.169999999999998,25.2
880,120.24,23.169999999999998,25.2
881,120.27,23.169999999999998,25.1
882,120.3,23.169999999999998,25.0
883,120.33,23.169999999999998,24.9
884,120.36,23.169999999999998,24.8
885,120.39,23.169999999999998,24.3
886,120.42,23.169999999999998,24.1
887,120.45,23.169999999999998,22.5
888,120.48,23.169999999999998,24.4
889,120.51,23.169999999999998,23.5
890,120.54,23.169999999999998,21.6
891,120.57,23.169999999999998,18.8
892,120.6,23.169999999999998,22.9
893,120.63,23.169999999999998,17.7
894,120.66,23.169999999999998,17.9
895,120.69,23.169999999999998,12.5
896,120.72,23.169999999999998,13.6
897,120.75,23.169999999999998,17.3
898,120.78,23.169999999999998,20.0
899,120.81,23.169999999999998,15.0
900,120.84,23.169999999999998,7.9
